1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,MA5,MA20,SMA5,SMA20,exma,middle_band,upper_band,lower_band
556.44,571.54,541.21,568.82,568.82,47775653.0,0.0,1.0,610.576,638.179,610.576,638.179,575.9735352262421,638.179,702.6549153401322,573.7030846598677
597.59,597.85,572.05,584.76,584.76,39133346.0,0.0,1.0,597.552,632.678,597.552,632.678,582.5633838065605,632.678,695.5749561977997,569.7810438022003
602.21,607.8,554.51,567.6,567.6,63003052.0,0.0,1.0,582.72,627.7585,582.72,627.7585,571.3408459516402,627.7585,694.930793559963,560.586206440037
581.16,598.78,578.45,585.76,585.76,37561078.0,0.0,1.0,580.064,623.862,580.064,623.862,582.15521148791,623.862,691.2988365993461,556.4251634006538
550.06,574.0,545.37,574.0,574.0,48930162.0,0.0,1.0,576.1879999999999,619.4735000000001,576.1879999999999,619.4735000000001,576.0388028719775,619.4735000000001,687.938976286655,551.0080237133451
540.4,559.99,526.2,555.38,555.38,52058771.0,0.0,1.0,573.5,614.9435,573.5,614.9435,560.5447007179944,614.9435,687.8683943921477,542.0186056078522
503.5,526.0,501.79,521.85,521.85,50260304.0,0.0,1.0,560.918,609.019,560.918,609.019,531.5236751794986,609.019,691.8379078081025,526.2000921918975
497.99,502.5,489.06,489.61,489.61,32911922.0,0.0,1.0,545.3199999999999,601.0065000000001,545.3199999999999,601.0065000000001,500.08841879487466,601.0065000000001,697.1277320649549,504.8852679350452
492.0,508.6112,487.57,499.27,499.27,62475346.0,0.0,1.0,528.022,591.22,528.022,591.22,499.4746046987187,591.22,686.9022143732531,495.537785626747
448.35,496.0,443.5001,486.64,486.64,78044024.0,0.0,1.0,510.55,582.757,510.55,582.757,489.8486511746797,582.757,684.1241656795014,481.3898343204985
460.17,462.0,433.01,441.61,441.61,61188281.0,0.0,1.0,487.796,573.6990000000001,487.796,573.6990000000001,453.6696627936699,573.6990000000001,691.1169883824888,456.28101161751135
408.93,412.45,404.0868,408.09,408.09,26838635.0,0.0,1.0,465.044,562.441,465.044,562.441,419.4849156984174,562.441,697.6471521334649,427.2348478665351
410.85,412.5319,401.66,408.5,408.5,19830351.0,0.0,1.0,448.82199999999995,550.8745,448.82199999999995,550.8745,411.2462289246044,550.8745,697.3175463713699,404.43145362863015
415.05,423.0,409.52,411.76,411.76,19940500.0,0.0,1.0,431.32,540.963,431.32,540.963,411.63155723115113,540.963,697.073543033828,384.8524569661719
416.45,418.695,410.58,417.13,417.13,17357722.0,0.0,1.0,417.418,530.466,417.418,530.466,415.7553893077878,530.466,690.3846234373789,370.54737656262114
420.09,420.09,396.0301,410.36,410.36,30284224.0,0.0,1.0,411.16799999999995,520.76,411.16799999999995,520.76,411.70884732694697,520.76,685.2621768533007,356.25782314669925
439.5,452.5,421.0,421.26,421.26,34833025.0,0.0,1.0,413.80199999999996,509.329,413.80199999999996,509.329,418.87221183173676,509.329,667.711953482012,350.946046517988
436.1,436.57,424.28,429.95,429.95,21706014.0,0.0,1.0,418.092,498.73850000000004,418.092,498.73850000000004,427.1805529579342,498.73850000000004,647.8935883829557,349.58341161704436
428.3,440.0,424.0001,438.09,438.09,28414523.0,0.0,1.0,423.358,490.691,423.358,490.691,435.3626382394835,490.691,634.3257680971317,347.0562319028682
430.62,435.4,417.1,420.98,420.98,32143057.0,0.0,1.0,424.128,482.071,424.128,482.071,424.5756595598709,482.071,620.350275899026,343.7917241009741
409.73,427.77,406.69,423.9,423.9,34351715.0,0.0,1.0,426.83599999999996,474.825,426.83599999999996,474.825,424.06891488996774,474.825,609.0940834030523,340.5559165969477
394.0,406.9799,392.3,400.51,400.51,29021118.0,0.0,1.0,422.686,465.6125,422.686,465.6125,406.39972872249194,465.6125,593.2414844782464,337.9835155217536
406.8954,407.5915,379.11,388.04,388.04,42587639.0,0.0,1.0,414.304,456.6345,414.304,456.6345,392.62993218062303,456.6345,579.2184792872456,334.0505207127544
409.96,418.06,406.46,410.83,410.83,22655308.0,0.0,1.0,408.852,447.88800000000003,408.852,447.88800000000003,406.27998304515575,447.88800000000003,555.7593503938401,340.01664960615994
416.48,418.6,406.0,406.02,406.02,25451409.0,0.0,1.0,405.86,439.4889999999999,405.86,439.4889999999999,406.0849957612889,439.4889999999999,530.9219354226427,348.0560645773571
423.76,430.5,420.1,424.68,424.68,22686506.0,0.0,1.0,406.01599999999996,432.954,406.01599999999996,432.954,420.03124894032226,432.954,506.43062869383516,359.47737130616486
411.63,425.76,410.0,420.28,420.28,28239161.0,0.0,1.0,409.96999999999997,427.8755,409.96999999999997,427.8755,420.21781223508054,427.8755,488.3763556616407,367.3746443383593
421.84,422.8859,407.3801,420.63,420.63,33716980.0,0.0,1.0,416.488,424.4264999999999,416.488,424.4264999999999,420.5269530587702,424.4264999999999,477.52049025364204,371.3325097463578
441.92,445.23,424.51,425.79,425.79,39993191.0,0.0,1.0,419.48,420.75249999999994,419.48,420.75249999999994,424.47423826469253,420.75249999999994,460.5426341249992,380.96236587500067
422.7,432.95,421.25,422.64,422.64,32370461.0,0.0,1.0,422.804,417.55249999999995,422.804,417.55249999999995,423.09855956617315,417.55249999999995,442.59167005100875,392.51332994899116
431.75,431.75,419.0501,421.94,421.94,31656289.0,0.0,1.0,422.25600000000003,416.56899999999996,422.25600000000003,416.56899999999996,422.2296398915433,416.56899999999996,439.04332022275463,394.0946797772453
446.24,447.0,428.87,430.83,430.83,36287843.0,0.0,1.0,424.366,417.70599999999996,424.366,417.70599999999996,428.6799099728858,417.70599999999996,440.6697191193131,394.74228088068685
454.44,455.9499,438.85,439.67,439.67,32775879.0,0.0,1.0,428.174,419.26449999999994,428.174,419.26449999999994,436.92247749322144,419.26449999999994,443.7762256366302,394.75277436336967
450.31,456.57,442.5,448.88,448.88,35672354.0,0.0,1.0,432.79200000000003,421.1205,432.79200000000003,421.1205,445.89061937330536,421.1205,448.6724906435502,393.5685093564498
449.78,465.9,447.35,461.3,461.3,48045394.0,0.0,1.0,440.524,423.329,440.524,423.329,457.44765484332635,423.329,456.1176423853581,390.5403576146419
443.35,448.89,436.6,446.65,446.65,34463665.0,0.0,1.0,445.466,425.14349999999996,445.466,425.14349999999996,449.3494137108315,425.14349999999996,458.91214772943823,391.3748522705617
442.0,448.74,438.58,442.3,442.3,38791133.0,0.0,1.0,447.76000000000005,426.1955,447.76000000000005,426.1955,444.06235342770793,426.1955,460.7563762529197,391.63462374708024
430.13,434.5899,426.4601,434.0,434.0,28925656.0,0.0,1.0,446.62600000000003,426.39799999999997,446.62600000000003,426.39799999999997,436.515588356927,426.39799999999997,461.09867834921886,391.6973216507811
438.44,439.0,425.3,425.92,425.92,40421116.0,0.0,1.0,442.034,425.7895,442.034,425.7895,428.56889708923177,425.7895,460.0509446341987,391.52805536580126
419.87,429.9,413.845,425.3,425.3,43127709.0,0.0,1.0,434.834,426.00550000000004,434.834,426.00550000000004,426.1172242723079,426.00550000000004,460.1936681441672,391.8173318558329
423.79,428.7799,406.05,413.98,413.98,49146259.0,0.0,1.0,428.3,425.50949999999995,428.3,425.50949999999995,417.014306068077,425.50949999999995,460.11161643969876,390.9073835603011
423.35,433.64,419.33,425.68,425.68,44722786.0,0.0,1.0,424.976,426.76800000000003,424.976,426.76800000000003,423.51357651701926,426.76800000000003,459.3113583490209,394.22464165097915
421.39,439.13,415.0,415.09,415.09,71430025.0,0.0,1.0,421.1940000000001,428.1205,421.1940000000001,428.1205,417.19589412925484,428.1205,455.76682228327445,400.47417771672553
440.76,448.88,434.42,448.16,448.16,50741454.0,0.0,1.0,425.642,429.98699999999997,425.642,429.98699999999997,440.41897353231377,429.98699999999997,457.75847199633654,402.2155280036634
421.32,433.93,420.47,429.01,429.01,48145566.0,0.0,1.0,426.384,431.13649999999996,426.384,431.13649999999996,431.8622433830784,431.13649999999996,456.53260436352986,405.74039563647005
